id	address	lat	lon
1000000000	Ул. Примерная, д. 0	52.276912	104.270625
1000000001	Ул. Примерная, д. 1	52.277075	104.272386
1000000002	Ул. Примерная, д. 2	52.277018	104.274333
1000000003	Ул. Примерная, д. 3	52.276779	104.276204
1000000004	Ул. Примерная, д. 4	52.276769	104.277967
1000000005	Ул. Примерная, д. 5	52.276785	104.279595
1000000006	Ул. Примерная, д. 6	52.276962	104.281763
1000000007	Ул. Примерная, д. 7	52.276812	104.283262
1000000008	Ул. Примерная, д. 8	52.277064	104.285424
1000000009	Ул. Примерная, д. 9	52.277039	104.286948
1000000010	Ул. Примерная, д. 10	52.277238	104.288573
1000000011	Ул. Примерная, д. 11	52.277179	104.290495
1000000012	Ул. Примерная, д. 12	52.278622	104.270609
1000000013	Ул. Примерная, д. 13	52.278704	104.272758
1000000014	Ул. Примерная, д. 14	52.278640	104.274441
1000000015	Ул. Примерная, д. 15	52.278869	104.276136
1000000016	Ул. Примерная, д. 16	52.278824	104.277781
1000000017	Ул. Примерная, д. 17	52.278580	104.279653
1000000018	Ул. Примерная, д. 18	52.278890	104.281564
1000000019	Ул. Примерная, д. 19	52.278707	104.283443
1000000020	Ул. Примерная, д. 20	52.278777	104.285100
1000000021	Ул. Примерная, д. 21	52.278947	104.287099
1000000022	Ул. Примерная, д. 22	52.278672	104.288837
1000000023	Ул. Примерная, д. 23	52.278813	104.290788
1000000024	Ул. Примерная, д. 24	52.280715	104.270694
1000000025	Ул. Примерная, д. 25	52.280840	104.272409
1000000026	Ул. Примерная, д. 26	52.280559	104.274529
1000000027	Ул. Примерная, д. 27	52.280426	104.276194
1000000028	Ул. Примерная, д. 28	52.280370	104.278084
1000000029	Ул. Примерная, д. 29	52.280732	104.279837
1000000030	Ул. Примерная, д. 30	52.280788	104.281507
1000000031	Ул. Примерная, д. 31	52.280698	104.283447
1000000032	Ул. Примерная, д. 32	52.280640	104.285178
1000000033	Ул. Примерная, д. 33	52.280770	104.287222
1000000034	Ул. Примерная, д. 34	52.280587	104.288882
1000000035	Ул. Примерная, д. 35	52.280380	104.290701
1000000036	Ул. Примерная, д. 36	52.282474	104.271047
1000000037	Ул. Примерная, д. 37	52.282561	104.272492
1000000038	Ул. Примерная, д. 38	52.282343	104.274484
1000000039	Ул. Примерная, д. 39	52.282161	104.276181
1000000040	Ул. Примерная, д. 40	52.282234	104.277809
1000000041	Ул. Примерная, д. 41	52.282179	104.279934
1000000042	Ул. Примерная, д. 42	52.282215	104.281474
1000000043	Ул. Примерная, д. 43	52.282345	104.283586
1000000044	Ул. Примерная, д. 44	52.282190	104.285175
1000000045	Ул. Примерная, д. 45	52.282425	104.287192
1000000046	Ул. Примерная, д. 46	52.282560	104.288982
1000000047	Ул. Примерная, д. 47	52.282289	104.290558
1000000048	Ул. Примерная, д. 48	52.284129	104.270992
1000000049	Ул. Примерная, д. 49	52.284429	104.272425
1000000050	Ул. Примерная, д. 50	52.284038	104.274266
1000000051	Ул. Примерная, д. 51	52.284067	104.276192
1000000052	Ул. Примерная, д. 52	52.284245	104.277881
1000000053	Ул. Примерная, д. 53	52.283952	104.279759
1000000054	Ул. Примерная, д. 54	52.284135	104.285233
1000000055	Ул. Примерная, д. 55	52.284427	104.287095
1000000056	Ул. Примерная, д. 56	52.284208	104.288859
1000000057	Ул. Примерная, д. 57	52.284288	104.290377
1000000058	Ул. Примерная, д. 58	52.286200	104.270940
1000000059	Ул. Примерная, д. 59	52.286187	104.272749
1000000060	Ул. Примерная, д. 60	52.285946	104.274349
1000000061	Ул. Примерная, д. 61	52.285802	104.276267
1000000062	Ул. Примерная, д. 62	52.285781	104.277784
1000000063	Ул. Примерная, д. 63	52.285854	104.279631
1000000064	Ул. Примерная, д. 64	52.285920	104.284976
1000000065	Ул. Примерная, д. 65	52.285750	104.286826
1000000066	Ул. Примерная, д. 66	52.285801	104.288732
1000000067	Ул. Примерная, д. 67	52.285763	104.290787
1000000068	Ул. Примерная, д. 68	52.287857	104.270624
1000000069	Ул. Примерная, д. 69	52.287676	104.272524
1000000070	Ул. Примерная, д. 70	52.287732	104.274211
1000000071	Ул. Примерная, д. 71	52.287974	104.276447
1000000072	Ул. Примерная, д. 72	52.287783	104.277992
1000000073	Ул. Примерная, д. 73	52.287593	104.279601
1000000074	Ул. Примерная, д. 74	52.287721	104.281482
1000000075	Ул. Примерная, д. 75	52.287964	104.283231
1000000076	Ул. Примерная, д. 76	52.287562	104.285425
1000000077	Ул. Примерная, д. 77	52.287814	104.286823
1000000078	Ул. Примерная, д. 78	52.287822	104.288564
1000000079	Ул. Примерная, д. 79	52.287814	104.290839
1000000080	Ул. Примерная, д. 80	52.289782	104.270898
1000000081	Ул. Примерная, д. 81	52.289481	104.272533
1000000082	Ул. Примерная, д. 82	52.289434	104.274536
1000000083	Ул. Примерная, д. 83	52.289616	104.276340
1000000084	Ул. Примерная, д. 84	52.289515	104.277862
1000000085	Ул. Примерная, д. 85	52.289756	104.280042
1000000086	Ул. Примерная, д. 86	52.289776	104.281753
1000000087	Ул. Примерная, д. 87	52.289759	104.283520
1000000088	Ул. Примерная, д. 88	52.289463	104.285209
1000000089	Ул. Примерная, д. 89	52.289528	104.286764
1000000090	Ул. Примерная, д. 90	52.289364	104.288690
1000000091	Ул. Примерная, д. 91	52.289480	104.290696
1000000092	Ул. Примерная, д. 92	52.291628	104.270774
1000000093	Ул. Примерная, д. 93	52.291619	104.272844
1000000094	Ул. Примерная, д. 94	52.291628	104.274332
1000000095	Ул. Примерная, д. 95	52.291260	104.276063
1000000096	Ул. Примерная, д. 96	52.291248	104.277852
1000000097	Ул. Примерная, д. 97	52.291462	104.280000
1000000098	Ул. Примерная, д. 98	52.291570	104.281590
1000000099	Ул. Примерная, д. 99	52.291476	104.283550
1000000100	Ул. Примерная, д. 100	52.291192	104.285280
1000000101	Ул. Примерная, д. 101	52.291605	104.287141
1000000102	Ул. Примерная, д. 102	52.291525	104.288789
